id,name,email,address,city,state,country,date_added,total,modeofpay,order_id,sale hour,sale year,sale month,sale day
1,veena,veena@mail.com,77715,Chennai,Tamil Nadu,India,20:28.2,1000,debit,1,5,2020,6,9
2,Jesus,jesus@mail.com,777,Chennai,Tamil Nadu,India,09:59.1,4385,cash,2,6,2020,6,9
3,man,man@mail.com,123,Madurai,Tamil Nadu,India,16:53.1,1500,debit,3,10,2020,6,9
4,sam,sam@mail.com,12121,Chennai,Tamil Nadu,India,27:04.2,15,cash,4,10,2020,6,9
5,sam,sam@mail.com,12121,Chennai,Tamil Nadu,India,27:07.4,15,cash,5,10,2020,6,9
6,girlam,g@mail.com,23432,Chennai,Tamil Nadu,India,32:21.7,1500,credit,6,10,2020,6,9
7,tomatoman,tomato@mail.com,5674,Chennai,Tamil Nadu,India,42:35.0,25,net banking,7,10,2020,6,9
8,naresh,nar@mail.com,7787,Chennai,Tamil Nadu,India,08:11.1,2000,debit,8,11,2020,6,9
9,Nash,n@mail.com,134,Chennai,Tamil Nadu,India,50:44.4,30000,cash,9,11,2020,6,9
10,eve,sobba@gmail.com,146,Chennai,Tamil Nadu,India,26:10.6,1000,credit,10,12,2020,6,9
11,Sathish ,xyz@Gmail.com,Cuz ,Chennai,Tamil Nadu,India,37:42.0,30000,credit,11,12,2020,6,9
12,Sathish ,xyz@Gmail.com,Cuz ,Chennai,Tamil Nadu,India,37:42.8,30000,credit,12,12,2020,6,9
13,Sathish ,xyz@Gmail.com,Cuz ,Chennai,Tamil Nadu,India,37:46.8,30000,credit,13,12,2020,6,9
14,Sathish ,xyz@Gmail.com,Cuz ,Chennai,Tamil Nadu,India,37:47.7,30000,credit,14,12,2020,6,9
15,Sathish ,xyz@Gmail.com,Cuz ,Chennai,Tamil Nadu,India,37:51.7,30000,credit,15,12,2020,6,9
16,Sathish ,xyz@Gmail.com,Cuz ,Chennai,Tamil Nadu,India,37:52.6,30000,credit,16,12,2020,6,9
17,Sathish ,xyz@Gmail.com,Cuz ,Chennai,Tamil Nadu,India,37:56.5,30000,credit,17,12,2020,6,9
18,Manojkumar,manoj.ravi94@gmail.com,"no:5/1 Main road, A.G.D Nagar,",Chennai,Tamil Nadu,India,47:56.9,40,debit,18,12,2020,6,9
19,DK,dk@dk.com,,,Tamil Nadu,India,51:53.9,200,credit,19,12,2020,6,9
